kabupaten_kota,Tidak/Belum Pernah Hamil,Pernah Hamil & Belum Pernah Melahirkan Anak Lahir Hidup
Pacitan,4.5,2
Ponorogo,5.7,2.2
Trenggalek,6.2,1
Tulungagung,8.6,2.7
Blitar,6.9,2.6
Kediri,5.5,2
Malang,6.5,1.9
Lumajang,6.9,2.1
Jember,5.8,2.7
Banyuwangi,5.6,2.7
Bondowoso,5.6,1.7
Situbondo,5.5,1.7
Probolinggo,5.8,3.6
Pasuruan,6.8,3.2
Sidoarjo,4.8,2.6
Mojokerto,5.6,1.4
Jombang,5,1.6
Nganjuk,6.7,2.363235294
Madiun,4.7,2.379411765
Magetan,5,2.395588235
Ngawi,2.9,2.411764706
Bojonegoro,6,2.427941176
Tuban,6.5,2.444117647
Lamongan,7.7,2.460294118
Gresik,7.1,2.476470588
Bangkalan,5.3,2.492647059
Sampang,13.7,2.508823529
Pamekasan,9.6,2.525
Sumenep,9.6,2.541176471
Kota Kediri,7.5,3.8
Kota Blitar,6.6,2.4
Kota Malang,4.1,1.4
Kota Probolinggo,8.1,4
Kota Pasuruan,7.5,3
Kota Mojokerto,6.1,3.6
Kota Madiun,6.7,4.6
Kota Surabaya,10,1.9
Kota Batu,7.8,1.3
